Articles,Contributions,Source,Annotation1,Annotation2,Same/Not,Labels,,,,,,,,,,,,,,,,,,,
Changing the narrative perspective: From deictic to anaphoric point of view,Introduce the new task of changing the narrative perspectives of a text which changes the experiene gained while reading it,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Changing the narrative perspective: From deictic to anaphoric point of view,Developed an system which transforms a first person or a second person view into a third person view,IPM,Model Construction,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Changing the narrative perspective: From deictic to anaphoric point of view,The results of above process shows a promissing approach as it shows that the text obtained is fluent and non-ambigious,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Patent transformation opportunity to realize patent value: Discussion about the conditions to be used or exchanged,The transformation opportunities are discovered using the heterogeneous network based transformation opportunity prediction tool.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Patent transformation opportunity to realize patent value: Discussion about the conditions to be used or exchanged,The explainable heterogeneous network-based transformation condition method describes the transformation conditions are required to complete the transformation.,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Scalable recommendations using decomposition techniques based on Voronoi diagrams,A decomposition based recommendation approach is proposed for address the scalability issues which arise when a customers join at rapid rate in recommendar systems,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Scalable recommendations using decomposition techniques based on Voronoi diagrams,used the Voronoi diagram differentiate the users’ space of the system coinsidering the location.,IPM,Model Optimization,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Scalable recommendations using decomposition techniques based on Voronoi diagrams,Improved the recommendation quality for the boundary users of a Voronoi cell,IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Scalable recommendations using decomposition techniques based on Voronoi diagrams,"The scalability and efficacy of the approch is demonstrated by reducing the run time for baseline CF algorithm for MovieLens-100K, MovieLens-1M, Book-Crossing and TripAdvisor datasets",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Zipfian regularities in “non-point” word representations,Variances of Gaussian embeddings can be used to quantify semantic uncertainty.,IPM,Applications,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Zipfian regularities in “non-point” word representations,There exist Zipfian regularities between word frequencies and semantic breadth/uncertainty.,IPM,Theory Proposal,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Zipfian regularities in “non-point” word representations,Zipfian patterns: more frequent words tends to be generic while less frequent ones tend to be specific.,IPM,New Algorithm or Method or Technology,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Zipfian regularities in “non-point” word representations,Zipfian patterns can be leveraged to increase entailment detection performance.,IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
"How well do hate speech, toxicity, abusive and offensive language classification models generalize across datasets?","using a standardized category schema, we are able to identify dataset categories which favor the generalization potential of a model;",IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
"How well do hate speech, toxicity, abusive and offensive language classification models generalize across datasets?","we provide clear evidence that, in contrast to the argumentation in some recent works, e.g., Gröndahl, Pajola, Juuti, Conti, and Asokan (2018), the model itself is equally of high relevance for generalization;",IPM,Theory Proposal,Performance Evaluation,0,Performance Evaluation,,,,,,,,,,,,,,,,,,,
"How well do hate speech, toxicity, abusive and offensive language classification models generalize across datasets?",we identify the dataset features and models that are responsible for a higher degree of generalization.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
IoT root union: A decentralized name resolving system for IoT based on blockchain,It allows the IoT manufacturers to protect their own name resolution process by individually choosing a name for the management company.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
IoT root union: A decentralized name resolving system for IoT based on blockchain,IoT-RU is a decentralized name resolution framework for IoT.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Edge-Based Blockchain Architecture for Event-Driven IoT using Hierarchical Identity Based Encryption,A blockchain architecture for IoT that protects privacy through Hierarchical Identity Based Encryption (HIBE).,IPM,Theory Proposal,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Edge-Based Blockchain Architecture for Event-Driven IoT using Hierarchical Identity Based Encryption,Many testings using Contiki OS are done to test the efficiency of the proposed architecture.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Bias-Aware Hierarchical Clustering for detecting the discriminated groups of users in recommendation systems,Introduced an unique method for identifying and defining potentially discriminated user groups for a given recommendation algorithm.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A movie recommendation method based on users' positive and negative profiles,"What to do, to predict users movie ratings by using a collaborative filtering algorithm to classify users movie preferences",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A movie recommendation method based on users' positive and negative profiles,"The MAE index of the conventional collaborative filtering system can be improved by 12.54 percent, the MAPE index by 17.68 percent, and the F1 index by 10.16 percent.",IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
ALICIA: Applied Intelligence in blockchain based VANET: Accident Validation as a Case Study,The Artificial Neural Network (ANN) is used to identify when and which nodes to remove during the consensus phase in ALICIA (Applied Intelligence in bloCkchaIn vAnet).,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
ALICIA: Applied Intelligence in blockchain based VANET: Accident Validation as a Case Study,"Hyperledger Fabric (HF), a blockchain platform established as part of the Hyperledger Project, is often used to implement the architecture, and uses the Practical Byzantine Fault Tolerance (PBFT) method to reach consensus because adding transactions to the blockchain does not need a large amount of computing capacity.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Multi-service model for blockchain networks,The use of a decentralized authority to control multi-service networks and also this framework analyzes the offer and estimates the product price based on transaction complexity and computational effort.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
On the design and implementation of a secure blockchain-based hybrid framework for Industrial Internet-of-Things,A hybrid Blockchain mechanism for securing a multi-national level IIoT with offices in different areas.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials,Utilize an off-chain storing mechanism to improve the scalability of the blockchain system.,IPM,Performance Evaluation,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials,Develop a Decentralized Application (DApp) using Ethereum blockchain as a proof-of-concept of the proposed architecture.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials,"Conduct numerous tests to check the viability, compute costs, measure execution times and gauge the scalability of the developed prototypical DApp.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials,Analyze the robustness of the developed DApp against the most widespread security attacks.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials,Utilize an off-chain storing mechanism to improve the scalability of the blockchain system.,IPM,Performance Evaluation,Model Optimization,0,Model Optimization,,,,,,,,,,,,,,,,,,,
Privacy Protected Blockchain Based Architecture and Implementation for Sharing of Students’ Credentials,Introduce a novel blockchain-based pragmatic architecture for secure sharing of students’ credentials among all the stakeholders in the education ecosystem.,IPM,Model Construction,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Blockchain-based privacy preservation for supply chains supporting lightweight multi-hop information accountability,The blockchain technology to improve the information availability and accountability across multiple hops of large supply chains while carefully gauging data privacy and transparency.,IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Helpfulness of online consumer reviews: A multi-perspective approach,"This research proposes an approach to encountering online review helpfulness problem from three qualitative perspectives - lexical, sequential and structural, with best of our knowledge, this is the first time in the literature where helpfulness of reviews is analysed from these perspectives.",IPM,Model Construction,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Helpfulness of online consumer reviews: A multi-perspective approach,The study implements a Dual CNN (D-CNN) model for analysing lexical perspective.,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Helpfulness of online consumer reviews: A multi-perspective approach,Structural perspective covers syntactic statistics of a review apart from the semantics of words.,IPM,Theory Proposal,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Helpfulness of online consumer reviews: A multi-perspective approach,This work addresses the discrepancies involved in the helpfulness voting mechanism by scoring reviews with human volunteers.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Exploiting temporal changes in query submission behavior for improving the search engine result cache performance,Temporal Changes in query activity is used for improving the result caching performance.,IPM,Algorithm or Method or Technology Optimization,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Exploiting temporal changes in query submission behavior for improving the search engine result cache performance,A new caching framework exploiting temporal variations in user query submissions is proposed.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Exploiting temporal changes in query submission behavior for improving the search engine result cache performance,The proposed framework improves both hit rate and response time.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Exploiting temporal changes in query submission behavior for improving the search engine result cache performance,The proposed technique is transferable to posting list caching and intersection caching.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
QLLog: A log anomaly detection method based on Q-learning algorithm,QLLog can detect multiple types of log anomalies to reduce the false negative rate.,IPM,Theory Proposal,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
QLLog: A log anomaly detection method based on Q-learning algorithm,QLLog provides a feedback mechanism to update the detection model and the abnormal level of abnormal logs.,IPM,Model Optimization,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
QLLog: A log anomaly detection method based on Q-learning algorithm,"We summarize the existing log anomaly detection methods, compare and analyze the advantages and disadvantages of them. The experimental result proves the superiority of QLLog.",IPM,Algorithm or Method or Technology Optimization,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Blockchain-based royalty contract transactions scheme for Industry 4.0 supply-chain management,"We propose a novel blockchain-based scheme, which securely executes the royalty transactions among various stakeholders in (OaG) industries.",IPM,Model Construction,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Blockchain-based royalty contract transactions scheme for Industry 4.0 supply-chain management,A new consensus mechanism Proof of Property (PoP) is designed for secure transaction between (OaG) company and landowners.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Blockchain-based royalty contract transactions scheme for Industry 4.0 supply-chain management,We then analysed and compared the performance of the proposed scheme of royalty contract transactions with the existing state-of-the art proposals.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Blockchain-based royalty contract transactions scheme for Industry 4.0 supply-chain management,The performance of the proposed scheme is validated using various security parameters in comparison to the existing methods.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Mining product innovation ideas from online reviews,Identifying innovative ideas from different online reviews using deep learning,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Mining product innovation ideas from online reviews,The long short-term memory (LSTM) model is used for identifying the innovation sentences,IPM,Model Optimization,Model Optimization,0,Model Optimization,,,,,,,,,,,,,,,,,,,
Mining product innovation ideas from online reviews,"Validation of the model is done bys using Amazon reviews of 10,000 customers as it outperofrms baseline model",IPM,Dataset Creation,Dataset Creation,0,Dataset Creation,,,,,,,,,,,,,,,,,,,
Semi-supervised Co-Clustering on Attributed Heterogeneous Information Networks,This is the first to study the problem of co-clustering nodes on attributed HINs,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Semi-supervised Co-Clustering on Attributed Heterogeneous Information Networks,A Framework called as SCCAIN used to effectively co-cluster nodes of different types at the same time.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Semi-supervised Co-Clustering on Attributed Heterogeneous Information Networks,"Aminer, DBLP, and a subset of the Alibaba consumer experience dataset were used in tests on three real-world datasets. SCCAIN is compared to different state-of-the-art models, and the experimental findings show that our model outperforms the baselines.",IPM,Dataset Creation,Dataset Creation,0,Dataset Creation,,,,,,,,,,,,,,,,,,,
Semi-supervised Co-Clustering on Attributed Heterogeneous Information Networks,Set the relevance matrix as sharing variables to improve the overall relevance metric and co-clustering.,IPM,New Algorithm or Method or Technology,Model Optimization,0,Model Optimization,,,,,,,,,,,,,,,,,,,
NDDSA: A network- and domain-based method for predicting drug-side effect associations,A network and domain-based algorithm (NDDSA) that assigns a score to each side effect to predict the side effects of new drug candidates before reaching the a clinical test,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Promoting users’ intention to share online health articles on social media: The role of confirmation bias,A framework for understanding how eHealth literacy and content valence can affect users' willingness to post health articles on social media was proposed,IPM,Model Construction,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Promoting users’ intention to share online health articles on social media: The role of confirmation bias,Users with a high level of eHealth literacy are more likely to share positive health articles when they have extreme confirmation bias.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Promoting users’ intention to share online health articles on social media: The role of confirmation bias,Users with a high level of eHealth literacy are more likely to share negative health articles when they have moderate confirmation bias or no confirmation bias.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Promoting users’ intention to share online health articles on social media: The role of confirmation bias,Users with a low level of eHealth literacy are more likely to share health articles regardless of positive or negative content valence when they have moderate positive confirmation bias.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems,"we propose blockchain-based privacy-preserving remote data integrity checking scheme without TTP, then we emphasize that our scheme is immune to privacy leakage from the third party and to collusion attacks of the cloud servers and the third party",IPM,Model Construction,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems,"Our scheme establishes a model based on the blockchain technology (a public distributed ledger). Once reaching the consensus, everyone, including the verifier, has the access to query the proof of the data for unlimited times from the blockchain, and cannot manipulate the data on the blockchain",IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems,"Our scheme provides a solution to ensure the privacy-preserving public verification as well as the batch verification for multi-user data or multi-data simultaneously. It is secure against the malicious server and immune to the delayed auditor. Otherwise, it reduces the cost of the communication and storage",IPM,New Algorithm or Method or Technology,Algorithm or Method or Technology Optimization,0,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems,Blockchain-based privacy-preserving remote data integrity checking scheme for IoT information systems,IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Social influence based community detection in event-based social networks,define and solve the social influence based community detection problem in EBSNs,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Social influence based community detection in event-based social networks,"propose to compute the structure-based social influence and behaviour-based social influence by considering both of the online social network structure and offline behaviours of EBSNs. In particular, we adopt the neighborhood overlap ratio between a pair of linked users to measure the structure-based social influence, and utilize the similarities of preferences on three aspects (i.e., topics, regions and organizers) through users’ offline behaviours to measure the behaviour-based social influence",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Social influence based community detection in event-based social networks,"Based on the obtained pairwise social influence, we devise a social influence based community detection (SICD) algorithm, in which a neighborhood based deep autoencoder is first proposed to learn the community-oriented latent representations of users, and then the widely used k-means clustering method is utilized to find communities.",IPM,Theory Proposal,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Social influence based community detection in event-based social networks,"evaluate the performance of our community detection algorithm on real-world dataset which is collected from DoubanEvent (i.e., the biggest event-based social network in China). Experimental results show that the proposed algorithm is suitable for community detection in EBSNs",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Supervised approaches for explicit search result diversification,"the first time in the literature, we propose to learn the importance of aspects by re-ranking the candidate set for each aspect and leveraging QPPs. In the closest work to ours in the literature, Ozdemiray and Altingovde (2014) directly employed such QPP estimates as the aspect importance values, but they did not explore the idea of training a model to predict these values, as we do in the AspectRanker framework.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Supervised approaches for explicit search result diversification,"adapt the LambdaMerge approach to search result diversification casting the diversification problem as a fusion task, namely the supervised merging of rankings per query aspect. Again, earlier works only considered traditional (unsupervised) merging strategies in this context (e.g., Ozdemiray & Altingovde, 2015), but did not exploit supervised learning. In our adaptation of LambdaMerge, we learn the aspects’ importance based on the representation quality of each aspect in the candidate set (as in AspectRanker), and we optimize an objective function that takes into account the relevance (of a document) to multiple aspects of a query.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Supervised approaches for explicit search result diversification,"proposed frameworks, especially AspectRanker and LmDiv, outperform all three baselines in terms of various well-known metrics",IPM,Model Construction,New Algorithm or Method or Technology,0,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Candidate sentence selection for extractive text summarization,"the extractive text summarization was handled by three objectives based on the summarization dataset, the feature space and the methods used for determining an importance degree to sentences.",IPM,New Algorithm or Method or Technology,Applications,0,Applications,,,,,,,,,,,,,,,,,,,
Candidate sentence selection for extractive text summarization,"new benchmark dataset for studies on automatic text summarization, which contains both human-generated abstracts and extracts, was proposed",IPM,Dataset Creation,Dataset Creation,1,Dataset Creation,,,,,,,,,,,,,,,,,,,
Candidate sentence selection for extractive text summarization,The extractive summarization problem was revisited,IPM,Theory Proposal,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
Candidate sentence selection for extractive text summarization,The syntactic and semantic feature spaces used in summarization were comprehensively investigated.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Candidate sentence selection for extractive text summarization,An ensembled feature space was introduced on a new long short-term memory-based neural network model (LSTM-NN).,IPM,Model Construction,Resources,0,Resources,,,,,,,,,,,,,,,,,,,
