Contributions,Source,Labels,,,,
"We participated only in the Sinhala-English track, basing our system on that of JunczysDowmunt (2018) but extensively modified for the 2019 low-resource scenario",ACL,Resources,,,,
"we describe the 4 systems we submitted, which have three main components: pre-filtering rules, sentence pair scoring, and reranking to improve vocabulary coverage",ACL,Theory Proposal,,,,
"In our submission for this shared task, we use of multilingual sentence embeddings obtained from LASER2 which uses an encoder-decoder architecture to train a multilingual sentence representation model using a relatively small parallel corpus.",ACL,Resources,,,,
"we include a text quality metric in the subcorpus-building process, rather than combining it afterward.",ACL,Resources,,,,
describes the participation of Webinterpret in the shared task on parallel corpus filtering at the Fourth Conference on Machine Translation,ACL,Theory Proposal,,,,
"We present a method based on projecting word embeddings learned from a monolingual corpus in a highresource language, to the target low-resource language through whatever parallel text is available",ACL,New Algorithm or Method or Technology,,,,
we introduce a filtering method for noisy parallel corpora based mainly on generating hypotheses for each sentence pair from noisy data and scoring based on hypothesis and target sentence similarity,ACL,New Algorithm or Method or Technology,,,,
The aim of this shared task is to extract two smaller sets of high-quality parallel sentences from a very noisy parallel corpus,ACL,Dataset Creation,,,,
This methodology allowed us to build a simple and reliable system that is easily adaptable to other language pairs.,ACL,Model Construction,,,,
"In order to gain further insight into the performance of individual MT systems, we organized a call for dedicated “test suites”, each focussing on some particular aspect of translation quality",ACL,Performance Evaluation,,,,
"QE developers were invited to perform the same scoring as standard metrics participants, with the exception that they refrain from using a reference translation in production of their scores. We then evaluate the QE submissions in exactly the same way as regular metrics are evaluated",ACL,Performance Evaluation,,,,
"The goal of this shared task is to provide a testbed for improving MT models’ robustness to orthographic variations, grammatical errors, and other linguistic phenomena common in usergenerated content, via better modelling, training, adaptation techniques, or leveraging monolingual training data",ACL,Model Optimization,,,,
we investigated character-based tokenisation vs. sub-word segmentation of Chinese text,ACL,Algorithm or Method or Technology Optimization,,,,
"introduce the method of data filtering, mainly in the application of language model and describe the techniques on transformer architecture and show the conducted experiments in detail of all directions, including data preprocessing,
model architecture, back-translation and knowledge distillation",ACL,New Algorithm or Method or Technology,,,,
upperbounds on the translation performance using lowercased coverage to identify which models used data in addition to the parallel corpus,ACL,Model Optimization,,,,
"we introduced two new translation directions involving two European languages, namely French and German",ACL,New Algorithm or Method or Technology,,,,
examine transfer learning for the Kazakh–English language pair using additional parallel data from Turkish–English.,ACL,Performance Evaluation,,,,
We choose news translation task and focus on KazakhEnglish (and vice versa) language pair,ACL,Resources,,,,
Lingua Custodia’s submission to the WMT’19 news shared task for German-to-French on the topic of the EU elections,ACL,Resources,,,,
a self-attention model based on the decoder part of the Transformer architecture was trained on the two pseudoparallel corpora,ACL,Model Construction,,,,
"We focused on the new Germanto-French language direction, and mostly used current standard approaches to develop a Neural Machine Translation system",ACL,Theory Proposal,,,,
"we describe all the systems for Kazakh↔English, Gujarati↔English, Chinese↔English, and English→Finnish, that we developed and submitted for WMT 2019 under the team name “NICT.",ACL,Theory Proposal,,,,
we propose a novel augmentation method Cycle Translation and a data mixture strategy Big/Small parallel construction to entirely exploit the synthetic corpus,ACL,New Algorithm or Method or Technology,,,,
"Our system is based on the self-attentional Transformer networks, into which we integrated the most recent effective strategies from academic research (e.g., BPE, back translation, multi-features data selection, data augmentation, greedy model ensemble, reranking, ConMBR system combination, and postprocessing)",ACL,Model Optimization,,,,
"describes the systems and experiments conducted to participate in the news translation tasks of WMT 2019 for Gujarati– English (gu–en, low-resourced language pair) and German–English (de–en, document-level evaluation).",ACL,Theory Proposal,,,,
"Our experiments show that Multilingual Neural Machine Translation leveraging parallel data from related language pairs helps in significant BLEU improvements upto 11.5, for low resource language pairs like Gujarati-English",ACL,Performance Evaluation,,,,
We also proposed our own model architectures and applied them in the tasks.,ACL,Applications,,,,
"we refine our approach to training popular neural machine translation toolkits, experiment with a new domain adaptation technique and again measure improvements in performance on the Russian–English language pair",ACL,Model Optimization,,,,
"We conduct an in-depth evaluation of the translation performance of different models, highlighting the trade-offs between methods of sharing decoder parameters",ACL,Performance Evaluation,,,,
"In this edition, we have submitted systems for the German ↔ English and German ↔ French language pairs, participating in both directions of each pair",ACL,Theory Proposal,,,,
Our main focus is document-level neural machine translation with deep transformer models.,ACL,Model Construction,,,,
we describe our approach to low-resource NMT,ACL,Theory Proposal,,,,
This paper describes our submitted systems with embeddings pre-trained on monolingual corpora,ACL,New Algorithm or Method or Technology,,,,
"We proposed four novel Deep-Transformer architectures based on (Wang et al., 2019) as our baseline, which outperformed the standard Transformer-Big significantly in terms of both translation quality and convergence speed.",ACL,Model Construction,,,,
Our submission is a multi-source NMT system taking both the original Kazakh sentence and its Russian translation as input for translating into English,ACL,Model Construction,,,,
"the systems we implement for the German-Czech language pair are built based on the previously proposed unsupervised MT systems, with some adaptations made to accommodate the morphologically rich characteristics of German and Czech",ACL,Algorithm or Method or Technology Optimization,,,,
We created a News transalated Shared task system to to translate news text from Lithuanian to English.,ACL,Theory Proposal,,,,
We submitted systems for both directions of the EnglishGerman language pair,ACL,Theory Proposal,,,,
This paper describes the unsupervised neural (NMT) and statistical machine translation (SMT) systems built for the participation of the National Institute of Information and Communications Technology (NICT) to the WMT19 shared News Translation Task,ACL,Model Construction,,,,
"we participate with neural MT systems for two language pairs and in three directions: English-Russian, EnglishGerman and German-English",ACL,Model Construction,,,,
we describe our joint submission (JU-Saarland) from Jadavpur University and Saarland University in the WMT 2019 news translation shared task for English–Gujarati language pair within the translation task subtrack,ACL,Theory Proposal,,,,
"We participate with the methods for shared news translation task in four language
directions, English ↔ German and English
↔ Russian in both directions",ACL,Model Construction,,,,
"The systems have been developed with the aim of identifying and following rather than establishing best practices, under the constraints imposed by a low resource training and decoding environment normally used for our production system",ACL,Model Construction,,,,
"The systems have been developed with the aim of identifying and following rather than establishing best practices, under the constraints imposed by a low resource training and decoding environment normally used for our production system",ACL,Algorithm or Method or Technology Optimization,,,,
"I describe a rule-based, bidirectional machine translation system for the Finnish—English language pair.",ACL,Theory Proposal,,,,
We describe our NMT systems submitted to the WMT19 shared task in English→Czech news translation.,ACL,Theory Proposal,,,,
"describes the neural machine translation systems developed at the RWTH Aachen University for the De→En, Zh→En and Kk→En news translation tasks",ACL,Theory Proposal,,,,
"Our two new news translation tasks address the low-resource
English-to-Kazakh language pair, for which only
a few thousand in-domain parallel sentences are
available",ACL,Theory Proposal,,,,
"Elastic weight consolidation (Kirkpatrick et al., 2017, EWC) is a domain adaptation technique that aims to avoid degradation in performance on the original domain",ACL,Model Construction,,,,
"To incorporate document-level context in a light-weight fashion, we propose a modification to the Transformer (Vaswani et al., 2017) that has separate attention layers for inter- and intra-sentential context.",ACL,Model Construction,,,,
"Even though the performance gap between NMT and traditional statistical machine translation (SMT) is growing rapidly on the task at hand, SMT can still improve very strong NMT ensembles",ACL,Performance Evaluation,,,,
"we focus on the improvement of single system, and propose three novel Transformer variants",ACL,New Algorithm or Method or Technology,,,,
we trained a single multilingual translation system using the constrained parallel and monolingual data for several language pairs.,ACL,Model Optimization,,,,
"neural machine translation (NMT) systems for English↔Kazakh
(henceforth referred to as EN↔KK) constrained
tasks.",ACL,Theory Proposal,,,,
we describe the system we developed at the LMU Munich Center for Information and Language Processing,ACL,Theory Proposal,,,,
"We submit constrained systems, i.e, we rely on the data provided for this language pair and do not use any external data.",ACL,Resources,,,,
"we present the University of Helsinki submissions to the WMT 2019 shared task on news translation in three language pairs: English–German, English–Finnish and Finnish–English",ACL,Resources,,,,
"Neural architecture optimization (NAO), our newly proposed method (Luo et al., 2018), leverages the power of a gradient-based method to conduct optimization and guide the creation of better neural architecture in a continuous and more compact space given the historically observed architectures and their performances",ACL,New Algorithm or Method or Technology,,,,
"This paper is based on Transformer, a neural machine translation network structure, to develop a two-way evaluation task between Russian and English.",ACL,Theory Proposal,,,,
This paper describes the DFKI-NMT submission to the WMT19 News translation task for both English-to-German and German-toEnglish directions,ACL,Model Construction,,,,
"we use the DFKI test suite for German→English MT (Burchardt et al., 2017) in order to analyze the performance of the 16 MT Systems that took part at the translation task",ACL,Model Construction,,,,
We provide a test suite for WMT19 aimed at assessing discourse phenomena of MT systems participating in the News Translation Task.,ACL,Performance Evaluation,,,,
We present a test set for evaluating an MT system’s capability to translate ambiguous conjunctions depending on the sentence structure,ACL,New Algorithm or Method or Technology,,,,
we present a languageindependent method for automatically building ContraWSD-style test suites,ACL,New Algorithm or Method or Technology,,,,
"a machine translation test set of documents from the auditing domain and its use as one of the “test suites” in the WMT19 News Translation Task for translation directions involving Czech, English and German.",ACL,Performance Evaluation,,,,
we propose WMDO (metric) – an extension to WMD that incorporates word order,ACL,Performance Evaluation,,,,
we seek to directly address the problem mentioned before by adopting a syntactic-level language resource into Meteor.,ACL,Theory Proposal,,,,
"We present YiSi, a unified automatic semantic machine translation quality evaluation and estimation metric for languages with different levels of available resources",ACL,New Algorithm or Method or Technology,,,,
" introduces a new MT metric: Extended Edit Distance (EED), based on an extension of the Levenshtein distance",ACL,Dataset Creation,,,,
We propose a method to filter pseudo-references by paraphrasing for automatic evaluation of machine translation (MT),ACL,New Algorithm or Method or Technology,,,,
We proposed one single and one ensemble system for each translation direction,ACL,New Algorithm or Method or Technology,,,,
we describe our neural machine translation (NMT) systems for Japanese↔English translation which we submitted to the translation robustness task,ACL,Theory Proposal,,,,
"describes the systems of Fraunhofer FOKUS for the WMT 2019 machine translation robustness task on EN-FR, FR-EN, and JA-EN language pairs",ACL,Theory Proposal,,,,
We further improved the performance of our model by fine-tuning on the in-domain noisy data without influencing the translation quality on the news domain,ACL,Model Optimization,,,,
"Our submission combined techniques including utilization of a synthetic corpus, domain adaptation, and a placeholder mechanism, which significantly improved over the previous baseline",ACL,Algorithm or Method or Technology Optimization,,,,
we built straightforward 6-layer Transformer models and experimented with a handful of variables including subword processing (FR–EN) and a handful of hyperparameters settings (JA↔EN),ACL,Model Construction,,,,
We illustrated that adding a domain symbol in source sentence improves the robustness of the model,ACL,Model Optimization,,,,
We found that “social-media-style” sentences can be generated by training a translation model with different “start-of-sentence” symbols for sentences in different domains in the decoder side,ACL,Model Construction,,,,
we propose a multitask learning algorithm for transformer-based MT systems that is more resilient to this noise.,ACL,New Algorithm or Method or Technology,,,,
"We propose a series of such methods that are model-agnostic, are able to be applied either offline or online, and do not require parameter update or architectural change",ACL,New Algorithm or Method or Technology,,,,
Our work here focuses on the zero-shot translation aspect of universal multilingual NMT,ACL,Model Construction,,,,
This is one of the first attempts at using syntax to improve Transformer-based NMT,ACL,Model Optimization,,,,
We introduce two methods for adding syntax to NMT that are straightforward to incorporate in practice,ACL,New Algorithm or Method or Technology,,,,
"We empirically evaluate both methods on translation from English into 21 diverse target languages, finding that the multi-task method improves consistently over a nonsyntactic baseline",ACL,Performance Evaluation,,,,
We introduce an APE model trained only on synthetic data generated with RTT for fixing typical translation errors from NMT output and investigate its scalability,ACL,Model Construction,,,,
We improve the BLEU of top submissions of the recent WMT evaluation campaigns,ACL,Model Optimization,,,,
"We propose separately reporting scores on test sets whose source sentences are translated and whose target sentences are translated, and call for higher-quality test sets",ACL,Performance Evaluation,,,,
we focus on investigating why sampling creates better training data by re-writing the loss criterion of an NMT model to include a model-based data generator,ACL,Dataset Creation,,,,
"We propose a simpler alternative to noising techniques, consisting of tagging back-translated source sentences with an extra token.",ACL,Algorithm or Method or Technology Optimization,,,,
We introduce and explore different approaches for using document embeddings in parallel document mining,ACL,New Algorithm or Method or Technology,,,,
We adapt the previous work on hierarchical networks to introduce a simple hierarchical document encoder trained on document pairs for this task.,ACL,Dataset Creation,,,,
Empirical results show our best document embedding model leads to state-of-the-art results on the document-level bitext retrieval task on two different datasets,ACL,Performance Evaluation,,,,
"We study in depth the effect of translationese on test data, using the test sets from the last three editions of WMT’s news shared task, containing 17 translation directions.",ACL,Performance Evaluation,,,,
"we present a customized NMT system for subtitling, with focus on the entertainment domain",ACL,New Algorithm or Method or Technology,,,,
"We introduce our work, which to the best of our knowledge is the first of its kind, on integrating synchrony constraints into the machine translation paradigm",ACL,Model Construction,,,,
We propose the use of lexical shortcuts as a simple strategy for alleviating the representation bottleneck in NMT models,ACL,New Algorithm or Method or Technology,,,,
We demonstrate significant improvements in translation quality across multiple language pairs as a result of equipping the transformer with lexical shortcut connections,ACL,Performance Evaluation,,,,
We report a positive impact of our modification on the model’s ability to perform word sense disambiguation,ACL,Model Optimization,,,,
This paper presents a high-quality multilingual dataset for the documentation domain to advance research on localization of structured text,ACL,Dataset Creation,,,,
"In this talk I will give an overview of advances on the identification and treatment of multiword expressions, in particular concentrating on techniques for identifying their degree of idiomaticity.",ACL,Theory Proposal,,,,
" we present the types of VMWEs existing in each language, as they are reflected in the respective corpora created within PARSEME",ACL,Model Construction,,,,
This paper reports on the Romanian journalistic corpus annotated with verbal multiword expressions following the PARSEME guidelines.,ACL,Theory Proposal,,,,
"We show how the Multiword Expressions (MWEs) contained in OdeNet can be morphologically specified by the use of the lexical representation and linking features of OntoLex-Lemon, which also support the formulation of restrictions in the usage of such expressions.",ACL,Resources,,,,
introduction of a new task in NLP that sheds light on the basic mechanisms underlying conceptual creativity; an automatic way of evaluating newly generated language; a temporally-aware neural model that learns what are plausible new conceptual combinations by generalising over attested combinations and corrupted instances thereof.,ACL,New Algorithm or Method or Technology,,,,
this unsupervised method to a bilingual vector space so as to model translation as a process of compositional contextualization.,ACL,Algorithm or Method or Technology Optimization,,,,
this paper also contributes with a new freely available dataset of 273 EnglishSpanish compound equivalents,ACL,Dataset Creation,,,,
This paper presents a systematic evaluation of twelve AMs —both symmetric and directional— which have been proposed for collocation extraction.,ACL,Theory Proposal,,,,
we aimed to replicate the MWS frequency effects found for adult native language speakers based on evidence from self-paced reading and sentence recall tasks in an ecologically more valid eye-tracking study,ACL,Model Optimization,,,,
we present the distribution and treatment of MultiWord Expressions (MWEs) within BTB-WN — a data-driven Bulgarian WordNet.,ACL,Model Construction,,,,
We focus on modeling compositionality of MWEs as reflected in their morphosyntactic and semantic properties.,ACL,Performance Evaluation,,,,
We propose a scenario for coupling MWEI with MWE discovery via syntactic MWE lexicons,ACL,Theory Proposal,,,,
This paper is a position statement based on an analysis of the state of the art in MWEI,ACL,Theory Proposal,,,,
"we test the quality of noun compound representations produced by different methods, including distributional representations, composition functions, and paraphrase-based phrase embeddings",ACL,Performance Evaluation,,,,
"our own proposal of how to deal with semantics of collocations; we argue that the notion of a semantic frame in the sense of FrameNet (Ruppenhofer et al., 2016) provides a suitably general semantic framework that is applicable to a wide range of semantic fields",ACL,Applications,,,,
We propose to tackle the problem of verbal multiword expression (VMWE) identification using a neural graph parsing-based approach.,ACL,New Algorithm or Method or Technology,,,,
this paper aims to determine whether the sentiment of the component words of an idiom is related to the sentiment of that idiom.,ACL,Theory Proposal,,,,
"We report on the ongoing development of IDION, a web resource of richly documented multiword expressions (MWEs) of Modern Greek addressed to the human user and to NLP",ACL,New Algorithm or Method or Technology,,,,
describe how we created a dataset for noun-adjective neologisms and in particular how we constructed a weak negative set for evaluation,ACL,Dataset Creation,,,,
describe our baseline methodologies and how we used pretrained language models in order to identify adjective-noun neologism with increased accuracy,ACL,Applications,,,,
"we propose a deep encoderdecoder architecture generating for every MWE word its corresponding part in the lemma, based on the internal context of the MWE",ACL,Model Construction,,,,
we aim to close this gap and present an evaluation study that considers both corpus- and documentlevel ATE.,ACL,Performance Evaluation,,,,
we propose a neural model that improves MWE identification by jointly learning MWE and dependency parse labels,ACL,Model Construction,,,,
"we propose, to the best of our knowledge for the first time, a cross-lingual transfer learning method for processing MWEs",ACL,New Algorithm or Method or Technology,,,,
"We show that MWE identification models, when multitasked with dependency parsing, outperform the models which naively add dependency parse information as additional features",ACL,Resources,,,,
"Our work aims to compile a comprehensive lexicon of Irish MWEs (Ilfhocail) for the purposes of NLP, by leveraging both existing monolingual and bilingual lexical resources and generating new MWE entries through methods of semiautomatic discovery",ACL,New Algorithm or Method or Technology,,,,
"Our goal is to study the impact of word representations on verbal MWE (VMWE) identification, comparing lemmas, surface forms, traditional word embeddings and subword representations.",ACL,Performance Evaluation,,,,
We explore a variety of methods for the novel task of classifying four types of assertions about activity performance,ACL,Model Optimization,,,,
"We propose a neural network model, which is a combination of a convolutional neural network (CNN) (LeCun et al., 1989), a recurrent neural network (RNN) (Elman, 1990), and a residual network (He et al., 2016) inspired by their recent successes in multiple tasks",ACL,Model Construction,,,,
Application of VAE in context to clinical paraphrasing task,ACL,Applications,,,,
"In this work, we build a unifying framework for RE, applying this on three highly used datasets (from the general, biomedical and clinical domains) with the ability to be extendable to new datasets",ACL,Theory Proposal,,,,
we develop a simple measure of sentence importance and demonstrate its effectiveness in interpreting a complex LSTM model’s decision making process,ACL,New Algorithm or Method or Technology,,,,
we discover clusters in the high-dimensional space of the sentence embedding model and test their correlation with feature importance scores for a given diagnosis class,ACL,Performance Evaluation,,,,
We also evaluate several baselines based on BERT and ELMo and find that the BERT model pre-trained on PubMed abstracts and MIMIC-III clinical notes achieves the best results,ACL,Performance Evaluation,,,,
"We present a deep learning approach to combining in real time available diagnosis codes (ICD codes) and free-text notes: Patient Context Vectors. Patient Context Vectors are created by averaging ICD code embeddings, and by predicting the same from free-text notes via a Convolutional Neural Network",ACL,New Algorithm or Method or Technology,,,,
to present the construction of a biomedical gold standard corpus annotated both with part-of-speech tags and named entities,ACL,New Algorithm or Method or Technology,,,,
"Two different approaches for domain adaptation of SRL for biological processes, with our code and models publicly available",ACL,Model Optimization,,,,
Analysis of the model performance when the target corpus is annotated with event-event relationships to the SRL corpus,ACL,Performance Evaluation,,,,
We present DEep Contextualized Biomedical Abbreviation Expansion (DECBAE) model,ACL,Model Construction,,,,
we will tackle the word categorization task and compare the performance of classification model on different feature sets: standard linguistic and non-linguistic features,ACL,Performance Evaluation,,,,
we propose to apply deep learning techniques to improve identification of readability and understandability of medical words by nonexpert users,ACL,Algorithm or Method or Technology Optimization,,,,
"Construct a dataset for training machine learning models to identify and extract data from full-text articles on diagnostic test accuracy. We focus on the target condition, index test, and reference standard.",ACL,Dataset Creation,,,,
"a discriminative model for automatically constructing high-coverage and domain-specific corpora for information extraction,",ACL,Model Construction,,,,
"an approach for automatically selecting queries using index terms as candidates,",ACL,New Algorithm or Method or Technology,,,,
an automated method to evaluate queries based on a sample corpus,ACL,Model Optimization,,,,
We present a simple and computationally efficient approach using a widely-available “off-theshelf” retrofitting algorithm to align pretrained embeddings according to semantic verb clusters,ACL,Model Optimization,,,,
"we show that by using semantic clusters for verbs, a large lexicon of verb classes derived from biomedical literature, we are able to improve the performance of common pretrained embeddings in downstream tasks by retrofitting them to verb classes",ACL,Model Optimization,,,,
We compare wordbased and context-based representations for the three classification problems.,ACL,Performance Evaluation,,,,
We propose a number of methods for extracting patterns from a sentence in which two eligible entities co-occur; different types of patterns have different trade-offs between expressive power and coverage,ACL,New Algorithm or Method or Technology,,,,
we propose a method which utilises these seed pairs to rank newly discovered patterns in terms of their compatibility with the existing data.,ACL,New Algorithm or Method or Technology,,,,
"We provide a resource to be distributed for research purposes in the BioNLP community. MedLexSp includes inflected forms (singular/plural, masculine/feminine) and conjugated verb forms of term lemmas, which are mapped to UMLS Concept Unique Identifiers",ACL,Resources,,,,
We present a novel multichannel TextCNN model for MeSH term indexing.,ACL,Model Construction,,,,
Experimental results show that incorporating figure and table information improves the performance of automatic MeSH indexing,ACL,Performance Evaluation,,,,
We make available a labeled full text biomedical document dataset,ACL,Dataset Creation,,,,
We publish a dataset of 2010 sentences with complete annotations of biological entities and binding interactions between the entities,ACL,Dataset Creation,,,,
"We propose a benchmark task with a welldefined evaluation system, which follows the best practices of machine learning research",ACL,Theory Proposal,,,,
We perform extensive evaluation of several competing methods on the dataset and report the results.,ACL,Performance Evaluation,,,,
The first NLP method to focus specifically on drug information for nursing mothers.,ACL,Model Construction,,,,
"Application of a deep learning-based system on two separate lactation information sources, drug labels and LactMed.",ACL,Applications,,,,
Evaluation of cross-corpus similarity in terms of important lactation information,ACL,Performance Evaluation,,,,
"we investigated how temporal information is documented in clinical text by annotating a corpus of medical reports with time expressions (TIMEXes), based on TimeML",ACL,Model Construction,,,,
we propose a novel annotation schema that could be useful for timeline reconstruction: CALendar EXpression (CALEX).,ACL,New Algorithm or Method or Technology,,,,
We present a method for the semantic categorization of clinical terms based on their surface form.,ACL,Algorithm or Method or Technology Optimization,,,,
"we build a dataset of PIO elements by improving the methodology found in (Jin and Szolovits, 2018)",ACL,Dataset Creation,,,,
"we built a multi-label PIO classifier, along with a boosting framework, based on the state of the art text embedding, BERT",ACL,Model Construction,,,,
A collection of Portuguese clinical texts with manuallylabelled named entities,ACL,Dataset Creation,,,,
"A model of word embeddings learned from a larger collection of Portuguese clinical text (i.e., Neurology clinical case descriptions)",ACL,Model Optimization,,,,
"An analysis of the performance of state-of-the-art models in Portuguese clinical NER, namely BiLSTM-CRF neural networks (Lample et al., 2016), tested on the labelled collection, either using the previous word embeddings or general-language word embeddings",ACL,Performance evaluation,,,,
We present two models for combining word and character embeddings for cause-of-death classification of verbal autopsy reports using the text of the narrative,ACL,Model Construction,,,,
a single methodology to generate medical text for a series of downstream NLP tasks,ACL,New Algorithm or Method or Technology,,,,
an assessment of the utility of the generated data as complementary training data in two important biomedical NLP tasks: text classification (phenotype classification) and temporal relation evaluation,ACL,Performance Evaluation,,,,
"we introduce our work on building a Chinese medical QA corpus named ChiMed
by crawling data from a big Chinese medical forum",ACL,Applications,,,,
Our goal in this paper is to maximize the predictive power of clinical notes by bridging the gap between information extraction and deep learning models,ACL,Theory Proposal,,,,
we present the semantic annotations we made on a corpus of clinical cases written in French by domain experts,ACL,Theory Proposal,,,,
"We develop a two-stage federated natural language processing method that enables utilization of clinical notes from different hospitals or clinics without moving the data, and demonstrate its performance using obesity and comorbities phenotyping as medical task",ACL,Model Optimization,,,,
"focus on causal sentence detection as a binary classification task and  to consider causal sentence detection in
both generic and biomedical texts",ACL,Model Construction,,,,
We propose a new NE method that leverages the strengths of both structure and content-oriented approaches.,ACL,New Algorithm or Method or Technology,,,,
Our objective is to propose methods and material for the creation of transformation rules from a small set of parallel sentences differentiated by their technicity,ACL,New Algorithm or Method or Technology,,,,
We also propose a typology of transformations and quantify them,ACL,Theory Proposal,,,,
We detail the performance of two packages of models released in scispaCy and demonstrate their robustness on several tasks and datasets,ACL,Performance Evaluation,,,,
